,currency,open_date,open_price,open_value_usd,quantity,symbol,price,value_usd,p/l,p/l_ils,broker,data,prec,prev,text_out,daily_dif,pos_out
11,USD,2020-01-19,327.5,982.5,3.0,NFLX,506.5199890136719,1519.5599670410156,537.0599670410156,1747.068976455722,bh,"{'1y Target Est': 607.32, '52 Week Range': '363.03 - 593.29', 'Ask': '0.00 x 900', 'Avg. Volume': 4806313.0, 'Beta (5Y Monthly)': 0.79, 'Bid': '0.00 x 1100', ""Day's Range"": '503.34 - 508.39', 'EPS (TTM)': 8.26, 'Earnings Date': 'Jul 14, 2021 - Jul 19, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '224.592B', 'Open': 505.2, 'PE Ratio (TTM)': 61.3, 'Previous Close': 505.55, 'Quote Price': 506.5199890136719, 'Volume': 3192983.0}",2,505.55,"NFLX:   USD506.5199890136719,dif:USD+0.96,   +0.19%",0.19,"NFLX:  USD506.5199890136719,amount:3.0dif:   +0.19%, pnl:537.06"
12,USD,2020-04-13,164.16,984.96,6.0,MSFT,254.55999755859375,1527.3599853515625,542.3999853515625,1764.4401843218807,bh,"{'1y Target Est': 286.84, '52 Week Range': '162.30 - 256.54', 'Ask': '0.00 x 800', 'Avg. Volume': 30541406.0, 'Beta (5Y Monthly)': 0.79, 'Bid': '0.00 x 1100', ""Day's Range"": '252.95 - 256.54', 'EPS (TTM)': 7.34, 'Earnings Date': 'Jul 20, 2021 - Jul 26, 2021', 'Ex-Dividend Date': 'May 19, 2021', 'Forward Dividend & Yield': '2.24 (0.88%)', 'Market Cap': '1.917T', 'Open': 256.08, 'PE Ratio (TTM)': 34.69, 'Previous Close': 261.97, 'Quote Price': 254.55999755859375, 'Volume': 45794535.0}",2,261.97,"MSFT:   USD254.55999755859375,dif:USD-7.41,   -2.83%",-2.83,"MSFT:  USD254.55999755859375,amount:6.0dif:   -2.83%, pnl:542.4"
10,USD,2020-01-19,0.9,450.0,500.0,RWLK,2.0299999713897705,1014.9999856948853,564.9999856948853,1837.958528437618,bh,"{'1y Target Est': 3.5, '52 Week Range': '0.4310 - 6.0000', 'Ask': '0.0000 x 1400', 'Avg. Volume': 3773978.0, 'Beta (5Y Monthly)': 3.57, 'Bid': '0.0000 x 800', ""Day's Range"": '1.9400 - 2.0500', 'EPS (TTM)': -0.823, 'Earnings Date': 'May 26, 2021 - May 31, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '93.601M', 'Open': 2.0, 'PE Ratio (TTM)': nan, 'Previous Close': 2.02, 'Quote Price': 2.0299999713897705, 'Volume': 917014.0}",2,2.02,"RWLK:   USD2.0299999713897705,dif:USD+0.01,   +0.50%",0.5,"RWLK:  USD2.0299999713897705,amount:500.0dif:    +0.50%, pnl:565.0"
13,USD,2020-04-13,502.4,1507.1999999999994,3.0,TSLA,694.4000244140625,2083.2000732421875,576.0000732421881,1873.7420775225978,bh,"{'1y Target Est': 636.35, '52 Week Range': '106.47 - 900.40', 'Ask': '0.00 x 800', 'Avg. Volume': 35411626.0, 'Beta (5Y Monthly)': 2.01, 'Bid': '0.00 x 1100', ""Day's Range"": '693.60 - 708.50', 'EPS (TTM)': 1.0, 'Earnings Date': 'Jul 20, 2021 - Jul 26, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '666.523B', 'Open': 696.41, 'PE Ratio (TTM)': 695.79, 'Previous Close': 704.74, 'Quote Price': 694.4000244140625, 'Volume': 21619003.0}",2,704.74,"TSLA:   USD694.4000244140625,dif:USD-10.36,  -1.47%",-1.47,"TSLA:  USD694.4000244140625,amount:3.0dif:   -1.47%, pnl:576.0"
8,USD,2021-04-20 15:47:54.523175,9.4,2820.0,300.0,INVZ,11.5,3450.0,630.0,2049.405136695,bh,"{'1y Target Est': nan, '52 Week Range': '10.87 - 11.50', 'Ask': '0.00 x 1200', 'Avg. Volume': nan, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '10.87 - 11.50', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': nan, 'Open': 11.17, 'PE Ratio (TTM)': nan, 'Previous Close': 11.17, 'Quote Price': 11.5, 'Volume': 470609.0}",2,11.17,"INVZ:   USD11.5,    dif:USD+0.33,   +2.95%",2.95,"INVZ:  USD11.5,amount:300.0    dif:   +2.95%, pnl:630.0"
14,USD,2020-10-15,117.1,1405.1999999999994,12.0,DIS,183.38999938964844,2200.6799926757812,795.4799926757819,2587.7155287743626,bh,"{'1y Target Est': 209.23, '52 Week Range': '98.65 - 203.02', 'Ask': '184.38 x 800', 'Avg. Volume': 11803748.0, 'Beta (5Y Monthly)': 1.21, 'Bid': '0.00 x 900', ""Day's Range"": '182.82 - 184.79', 'EPS (TTM)': -2.74, 'Earnings Date': 'May 13, 2021', 'Ex-Dividend Date': 'Dec 13, 2019', 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '332.901B', 'Open': 184.79, 'PE Ratio (TTM)': nan, 'Previous Close': 184.64, 'Quote Price': 183.38999938964844, 'Volume': 5051193.0}",2,184.64,"DIS:    USD183.38999938964844,dif:USD-1.26,   -0.68%",-0.68,"DIS:   USD183.38999938964844,amount:12.0dif:   -0.68%, pnl:795.48"
15,USD,2020-04-13,71.5,1430.0,20.0,IRBT,111.97000122070312,2239.4000244140625,809.4000244140625,2632.9977264686318,bh,"{'1y Target Est': 123.25, '52 Week Range': '42.71 - 197.40', 'Ask': '0.00 x 800', 'Avg. Volume': 1127691.0, 'Beta (5Y Monthly)': 1.33, 'Bid': '0.00 x 800', ""Day's Range"": '110.69 - 113.43', 'EPS (TTM)': 5.14, 'Earnings Date': 'May 03, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '3.179B', 'Open': 113.31, 'PE Ratio (TTM)': 21.78, 'Previous Close': 114.89, 'Quote Price': 111.97000122070312, 'Volume': 400036.0}",2,114.89,"IRBT:   USD111.97000122070312,dif:USD-2.92,   -2.54%",-2.54,"IRBT:  USD111.97000122070312,amount:20.0dif:   -2.54%, pnl:809.4"
16,USD,2020-04-13,147.0,2205.0,15.0,BA,235.4600067138672,3531.900100708008,1326.9001007080078,4316.437908368419,bh,"{'1y Target Est': 251.91, '52 Week Range': '113.89 - 278.57', 'Ask': '237.05 x 1100', 'Avg. Volume': 16492190.0, 'Beta (5Y Monthly)': 1.69, 'Bid': '236.75 x 1000', ""Day's Range"": '232.85 - 239.65', 'EPS (TTM)': -20.88, 'Earnings Date': 'Jul 27, 2021 - Aug 02, 2021', 'Ex-Dividend Date': 'Feb 13, 2020', 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '137.424B', 'Open': 239.0, 'PE Ratio (TTM)': nan, 'Previous Close': 242.47, 'Quote Price': 235.4600067138672, 'Volume': 19054541.0}",2,242.47,"BA:     USD235.4600067138672,dif:USD-7.01,   -2.89%",-2.89,"BA:    USD235.4600067138672,amount:15.0dif:   -2.89%, pnl:1326.9"
17,USD,2020-04-13,11.5,989.0,86.0,CCL,27.799999237060547,2390.799934387207,1401.799934387207,4560.088866907708,bh,"{'1y Target Est': 27.41, '52 Week Range': '10.95 - 30.12', 'Ask': '28.30 x 1000', 'Avg. Volume': 43020898.0, 'Beta (5Y Monthly)': 2.36, 'Bid': '28.37 x 1300', ""Day's Range"": '27.57 - 28.26', 'EPS (TTM)': -13.02, 'Earnings Date': 'Jul 08, 2021 - Jul 12, 2021', 'Ex-Dividend Date': 'Feb 20, 2020', 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '33.097B', 'Open': 27.7, 'PE Ratio (TTM)': nan, 'Previous Close': 27.81, 'Quote Price': 27.799999237060547, 'Volume': 17273037.0}",2,27.81,"CCL:    USD27.799999237060547,dif:USD-0.01,   -0.04%",-0.04,"CCL:   USD27.799999237060547,amount:86.0dif:   -0.04%, pnl:1401.8"
18,USD,2020-08-31,39.25,942.0,24.0,AAPL,133.5800018310547,3205.9200439453125,2263.9200439453125,7364.586297029037,bh,"{'1y Target Est': 152.19, '52 Week Range': '64.75 - 145.09', 'Ask': '0.00 x 2900', 'Avg. Volume': 109215938.0, 'Beta (5Y Monthly)': 1.22, 'Bid': '0.00 x 800', ""Day's Range"": '133.09 - 135.02', 'EPS (TTM)': 3.69, 'Earnings Date': 'Jul 28, 2021 - Aug 02, 2021', 'Ex-Dividend Date': 'Feb 05, 2021', 'Forward Dividend & Yield': '0.82 (0.61%)', 'Market Cap': '2.243T', 'Open': 134.31, 'PE Ratio (TTM)': 36.23, 'Previous Close': 134.39, 'Quote Price': 133.5800018310547, 'Volume': 85993932.0}",2,134.39,"AAPL:   USD133.5800018310547,dif:USD-0.81,   -0.60%",-0.6,"AAPL:  USD133.5800018310547,amount:24.0dif:    -0.60%, pnl:2263.92"
19,USD,2020-01-19,15.94,1514.3,95.0,SFTBY,45.400001525878906,4313.000144958496,2798.700144958496,9104.23881451902,bh,"{'1y Target Est': nan, '52 Week Range': '18.09 - 50.00', 'Ask': '0.00 x 0', 'Avg. Volume': 343095.0, 'Beta (5Y Monthly)': 1.25, 'Bid': '0.00 x 0', ""Day's Range"": '45.40 - 45.76', 'EPS (TTM)': 3.68, 'Earnings Date': nan, 'Ex-Dividend Date': 'Sep 28, 2020', 'Forward Dividend & Yield': '0.21 (0.46%)', 'Market Cap': '158.114B', 'Open': 45.5, 'PE Ratio (TTM)': 12.34, 'Previous Close': 46.4, 'Quote Price': 45.400001525878906, 'Volume': 197635.0}",2,46.4,"SFTBY:  USD45.400001525878906,dif:USD-1.0,    -2.16%",-2.16,"SFTBY: USD45.400001525878906,amount:95.0dif:   -2.16%, pnl:2798.7"
20,USD,2020-01-19,1150.0,2300.0,2.0,AMZN,3458.5,6917.0,4617.0,15019.211930350499,bh,"{'1y Target Est': 3993.18, '52 Week Range': '1,997.62 - 3,552.25', 'Ask': '0.00 x 1200', 'Avg. Volume': 3625571.0, 'Beta (5Y Monthly)': 1.12, 'Bid': '0.00 x 1200', ""Day's Range"": '3,425.00 - 3,489.10', 'EPS (TTM)': 41.83, 'Earnings Date': 'Apr 29, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '1.743T', 'Open': 3434.8, 'PE Ratio (TTM)': 82.68, 'Previous Close': 3417.43, 'Quote Price': 3458.5, 'Volume': 4450333.0}",2,3417.43,"AMZN:   USD3458.5,  dif:USD+41.01,  +1.20%",1.2,"AMZN:  USD3458.5,amount:2.0  dif:    +1.20%, pnl:4617.0"
21,USD,2019-08-22,210.0,4830.0,23.0,NVDA,611.0700073242188,14054.610168457031,9224.610168457031,30007.878513086933,bh,"{'1y Target Est': 661.61, '52 Week Range': '257.00 - 621.29', 'Ask': '0.00 x 1100', 'Avg. Volume': 8289230.0, 'Beta (5Y Monthly)': 1.38, 'Bid': '0.00 x 800', ""Day's Range"": '608.62 - 621.29', 'EPS (TTM)': 6.9, 'Earnings Date': 'May 26, 2021', 'Ex-Dividend Date': 'Mar 09, 2021', 'Forward Dividend & Yield': '0.64 (0.10%)', 'Market Cap': '380.32B', 'Open': 614.58, 'PE Ratio (TTM)': 88.56, 'Previous Close': 615.27, 'Quote Price': 611.0700073242188, 'Volume': 5235405.0}",2,615.27,"NVDA:   USD611.0700073242188,dif:USD-4.18,   -0.68%",-0.68,"NVDA:  USD611.0700073242188,amount:23.0dif:   -0.68%, pnl:9224.61"
