,date,equity,water_mark,pnl,max_gain
0,2019-08-19,70000.0,70000.0,0.0,0.0
1,2019-08-23,68893.52964782715,70000.0,-1106.4703521728516,0.0
2,2019-08-26,68962.52543640138,70000.0,-1037.4745635986183,0.0
3,2019-08-27,68878.85914611816,70000.0,-1121.140853881836,0.0
4,2019-08-28,68869.22200012207,70000.0,-1130.7779998779297,0.0
5,2019-08-29,69001.84506225586,70000.0,-998.1549377441406,0.0
6,2019-08-30,69013.54721069336,70000.0,-986.4527893066406,0.0
7,2019-09-03,68936.90979003906,70000.0,-1063.0902099609375,0.0
8,2019-09-04,69042.22807312013,70000.0,-957.7719268798683,0.0
9,2019-09-05,69294.16679382324,70000.0,-705.8332061767578,0.0
10,2019-09-06,69269.15618896483,70000.0,-730.8438110351708,0.0
11,2019-09-09,69311.60525512695,70000.0,-688.3947448730469,0.0
12,2019-09-10,69373.09803771973,70000.0,-626.9019622802734,0.0
13,2019-09-11,69399.48542785645,70000.0,-600.5145721435547,0.0
14,2019-09-12,69398.10864257812,70000.0,-601.891357421875,0.0
15,2019-09-13,69344.6463470459,70000.0,-655.3536529541016,0.0
16,2019-09-16,69304.95085144043,70000.0,-695.0491485595703,0.0
17,2019-09-17,69324.68418884277,70000.0,-675.3158111572266,0.0
18,2019-09-18,69299.67323303223,70000.0,-700.3267669677734,0.0
19,2019-09-19,69229.91973876952,70000.0,-770.0802612304833,0.0
20,2019-09-20,69132.40347290039,70000.0,-867.5965270996094,0.0
21,2019-09-23,69181.73541259767,70000.0,-818.2645874023292,0.0
22,2019-09-24,69128.73216247559,70000.0,-871.2678375244141,0.0
23,2019-09-25,69259.5193939209,70000.0,-740.4806060791016,0.0
24,2019-09-26,69239.09819030763,70000.0,-760.9018096923683,0.0
25,2019-09-27,69111.0641784668,70000.0,-888.9358215332031,0.0
26,2019-09-30,69164.06777954103,70000.0,-835.9322204589698,0.0
27,2019-10-01,69162.46112060548,70000.0,-837.5388793945167,0.0
28,2019-10-02,69140.43395996094,70000.0,-859.5660400390625,0.0
29,2019-10-03,69330.19062805176,70000.0,-669.8093719482422,0.0
30,2019-10-04,69345.33456420897,70000.0,-654.6654357910302,0.0
31,2019-10-07,69399.48542785645,70000.0,-600.5145721435547,0.0
32,2019-10-08,69236.57414245605,70000.0,-763.4258575439453,0.0
33,2019-10-09,69316.423828125,70000.0,-683.576171875,0.0
34,2019-10-10,69369.65625,70000.0,-630.34375,0.0
35,2019-10-11,69437.57426452638,70000.0,-562.4257354736183,0.0
36,2019-10-14,69449.9642791748,70000.0,-550.0357208251953,0.0
37,2019-10-15,69675.74478149414,70000.0,-324.2552185058594,0.0
38,2019-10-16,69626.18402099611,70000.0,-373.8159790038917,0.0
39,2019-10-17,69628.01844787598,70000.0,-371.98155212402344,0.0
40,2019-10-18,69540.82754516603,70000.0,-459.1724548339698,0.0
41,2019-10-21,69667.48477172853,70000.0,-332.5152282714698,0.0
42,2019-10-22,69658.30702209473,70000.0,-341.69297790527344,0.0
43,2019-10-23,69646.375,70000.0,-353.625,0.0
